,longitude,latitude,start_date,end_date,links
15,-87.63256264837347,41.8300162,2017-04-04,2018-09-26,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=41.8300162,-87.63256264837347&aggregateHours=24&startDateTime=2017-04-04T00:00:00&endDateTime=2018-09-26T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
16,-84.50662325533993,39.09724845,2017-04-03,2018-09-30,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=39.09724845,-84.50662325533993&aggregateHours=24&startDateTime=2017-04-03T00:00:00&endDateTime=2018-09-30T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
17,-84.46853422885837,33.89070855,2017-04-14,2018-09-23,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=33.89070855,-84.46853422885837&aggregateHours=24&startDateTime=2017-04-14T00:00:00&endDateTime=2018-09-23T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
18,-83.04962481782741,42.33915895,2017-04-07,2018-09-23,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=42.33915895,-83.04962481782741&aggregateHours=24&startDateTime=2017-04-07T00:00:00&endDateTime=2018-09-23T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
19,-82.65327550461797,27.7680559,2017-04-02,2018-09-30,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=27.7680559,-82.65327550461797&aggregateHours=24&startDateTime=2017-04-02T00:00:00&endDateTime=2018-09-30T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
20,-81.68420022215649,41.4960144,2017-04-11,2018-09-23,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=41.4960144,-81.68420022215649&aggregateHours=24&startDateTime=2017-04-11T00:00:00&endDateTime=2018-09-23T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
21,-80.21980500744203,25.7782474,2017-04-11,2018-09-23,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=25.7782474,-80.21980500744203&aggregateHours=24&startDateTime=2017-04-11T00:00:00&endDateTime=2018-09-23T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
22,-80.00560626612204,40.446925799999995,2017-04-07,2018-09-23,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=40.446925799999995,-80.00560626612204&aggregateHours=24&startDateTime=2017-04-07T00:00:00&endDateTime=2018-09-23T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
23,-79.38919882366382,43.6416641,2017-04-11,2018-09-26,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=43.6416641,-79.38919882366382&aggregateHours=24&startDateTime=2017-04-11T00:00:00&endDateTime=2018-09-26T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
24,-77.00838588569519,38.87274095,2017-04-03,2018-09-26,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=38.87274095,-77.00838588569519&aggregateHours=24&startDateTime=2017-04-03T00:00:00&endDateTime=2018-09-26T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
25,-76.62249149865416,39.28398230000001,2017-04-03,2018-09-30,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=39.28398230000001,-76.62249149865416&aggregateHours=24&startDateTime=2017-04-03T00:00:00&endDateTime=2018-09-30T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
26,-75.16541101747245,39.90588575,2017-04-07,2018-09-30,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=39.90588575,-75.16541101747245&aggregateHours=24&startDateTime=2017-04-07T00:00:00&endDateTime=2018-09-30T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
27,-73.92652118491901,40.82958275,2017-04-10,2018-09-23,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=40.82958275,-73.92652118491901&aggregateHours=24&startDateTime=2017-04-10T00:00:00&endDateTime=2018-09-23T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
28,-73.84587884942417,40.75727785,2017-04-03,2018-09-30,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=40.75727785,-73.84587884942417&aggregateHours=24&startDateTime=2017-04-03T00:00:00&endDateTime=2018-09-30T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
29,-71.0971002033302,42.346462100000004,2017-04-03,2018-09-30,"https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/weatherdata/history/?locations=42.346462100000004,-71.0971002033302&aggregateHours=24&startDateTime=2017-04-03T00:00:00&endDateTime=2018-09-30T00:00:00&unitGroup=uk&contentType=json&dayStartTime=0:0:00&dayEndTime=0:0:00&key=LB75LJ6SXR4P5SP6U5HA666V6"
